cell_type,rank,gene,attn_score,gene_type
CD14+ Monocytes,9,ACTR8,50.25129318237305,protein coding
CD14+ Monocytes,10,GNAI2,49.460652351379395,protein coding
CD14+ Monocytes,11,SENP7,49.026817321777344,protein coding
CD14+ Monocytes,12,CPA3,47.588130950927734,protein coding
CD14+ Monocytes,13,ARL8B,46.020180543263756,protein coding
CD14+ Monocytes,14,RASA2,40.978389739990234,protein coding
CD14+ Monocytes,15,ILKAP,40.38309895992279,protein coding
CD14+ Monocytes,16,OSBPL11,39.887638092041016,protein coding
CD14+ Monocytes,17,NR1D2,36.537408192952476,protein coding
CD14+ Monocytes,18,UQCRC1,33.83228874206543,protein coding
CD14+ Monocytes,19,SLC41A3,33.34789276123047,protein coding
CD14+ Monocytes,20,RUVBL1,33.0212287902832,protein coding
CD14+ Monocytes,21,GSK3B,32.84308624267578,protein coding
CD14+ Monocytes,22,NBEAL2,32.76424312591553,protein coding
CD14+ Monocytes,23,RNPEPL1,32.14650022983551,protein coding
CD14+ Monocytes,24,EPM2AIP1,30.97948980331421,protein coding
CD14+ Monocytes,25,SMARCAL1,30.492309297834122,protein coding
CD14+ Monocytes,26,SRPRB,30.189289093017578,protein coding
CD14+ Monocytes,27,TOPBP1,30.185361862182617,protein coding
CD14+ Monocytes,28,SLC25A20,30.007678031921387,protein coding
CD14+ Monocytes,29,EDEM1,29.117082198460896,protein coding
CD14+ Monocytes,30,SIAH2,27.761117935180664,protein coding
CD14+ Monocytes,31,AAMP,27.65518808364868,protein coding
CD14+ Monocytes,32,RBM6,27.607372999191284,protein coding
CD14+ Monocytes,33,GMPS,27.363269805908203,protein coding
CD14+ Monocytes,34,NCL,26.935647773742676,protein coding
CD14+ Monocytes,35,IFT57,25.3905029296875,protein coding
CD14+ Monocytes,36,NISCH,25.178829193115234,protein coding
CD14+ Monocytes,37,DHRS9,23.63286018371582,protein coding
CD14+ Monocytes,38,MITF,23.0494384765625,protein coding
CD14+ Monocytes,39,VIPR1,23.046180089314777,protein coding
CD14+ Monocytes,40,CSTA,22.742795944213867,protein coding
CD14+ Monocytes,41,GPR171,22.410404205322266,protein coding
CD14+ Monocytes,42,TMEM39A,22.16147804260254,protein coding
CD14+ Monocytes,43,RRP9,21.943893432617188,protein coding
CD14+ Monocytes,44,XPC,21.82469129562378,protein coding
CD14+ Monocytes,45,CTNNB1,21.63350709279378,protein coding
CD14+ Monocytes,46,HDAC4,21.00259178876877,protein coding
CD14+ Monocytes,47,ITM2C,20.325252532958984,protein coding
CD14+ Monocytes,48,SEC61A1,19.752880096435547,protein coding
CD14+ Monocytes,49,MTX2,19.210851951078936,protein coding
CD14+ Monocytes,50,BAP1,18.327627182006836,protein coding
CD14+ Monocytes,51,GPX1,18.00546646118164,protein coding
CD14+ Monocytes,52,CLK1,17.672411772939896,protein coding
CD14+ Monocytes,53,ABHD10,17.60575294494629,protein coding
CD14+ Monocytes,54,NIF3L1,16.8087289068434,protein coding
CD14+ Monocytes,55,UXS1,16.010986265726388,protein coding
CD14+ Monocytes,56,DYNC1LI1,15.868063608805338,protein coding
CD14+ Monocytes,57,CPOX,15.592569351196289,protein coding
CD14+ Monocytes,58,NME6,15.519045054912567,protein coding
